Year,Quarter,client_lobby_actor_id,client_name,LDA_lobbying_expenses
2010,1,7926,National Retail Federation,779000
2010,2,7926,National Retail Federation,639000
2010,3,7926,National Retail Federation,509000
2010,4,7926,National Retail Federation,919000
2011,1,7926,National Retail Federation,759000
2011,2,7926,National Retail Federation,989000
2011,3,7926,National Retail Federation,899000
2011,4,7926,National Retail Federation,1079000
2012,1,7926,National Retail Federation,954000
2012,2,7926,National Retail Federation,1324000
2012,3,7926,National Retail Federation,1009000
2012,4,7926,National Retail Federation,1089000
2013,1,7926,National Retail Federation,829000
2013,2,7926,National Retail Federation,659000
2013,3,7926,National Retail Federation,849000
2013,4,7926,National Retail Federation,629000
2014,1,7926,National Retail Federation,1139000
2014,2,7926,National Retail Federation,1029000
2014,3,7926,National Retail Federation,659000
2014,4,7926,National Retail Federation,869000
2015,1,7926,National Retail Federation,1459000
2015,2,7926,National Retail Federation,1699000
2015,3,7926,National Retail Federation,1809000
2015,4,7926,National Retail Federation,1859000
2016,1,7926,National Retail Federation,2179000
2016,2,7926,National Retail Federation,1809000
2016,3,7926,National Retail Federation,1879000
2016,4,7926,National Retail Federation,1769000
2017,1,7926,National Retail Federation,2549000
2017,2,7926,National Retail Federation,5269000
2017,3,7926,National Retail Federation,3329000
2017,4,7926,National Retail Federation,2529000
2018,1,7926,National Retail Federation,2219000
2018,2,7926,National Retail Federation,1586000
2018,3,7926,National Retail Federation,2011000
2018,4,7926,National Retail Federation,2669000
2019,1,7926,National Retail Federation,1632000
2019,2,7926,National Retail Federation,2089000
2019,3,7926,National Retail Federation,2389000
2019,4,7926,National Retail Federation,2119000
2020,1,7926,National Retail Federation,1949000
2020,2,7926,National Retail Federation,1720000
2020,3,7926,National Retail Federation,1485000
2020,4,7926,National Retail Federation,1745000
2021,1,7926,National Retail Federation,1599000
2021,2,7926,National Retail Federation,1985000
2021,3,7926,National Retail Federation,2035000
2021,4,7926,National Retail Federation,1825000
2022,1,7926,National Retail Federation,1985000
2022,2,7926,National Retail Federation,3095000
2022,3,7926,National Retail Federation,3185000
2022,4,7926,National Retail Federation,2695000
2023,1,7926,National Retail Federation,2445000
2023,2,7926,National Retail Federation,2340000
2023,3,7926,National Retail Federation,2330000
2023,4,7926,National Retail Federation,2350000
2024,1,7926,National Retail Federation,2386000
2024,2,7926,National Retail Federation,2060000
2024,3,7926,National Retail Federation,2465000
2024,4,7926,National Retail Federation,2130000
2010,1,8900,Elevance Health Inc.,1730000
2010,2,8900,Elevance Health Inc.,970000
2010,3,8900,Elevance Health Inc.,980000
2010,4,8900,Elevance Health Inc.,1050000
2011,1,8900,Elevance Health Inc.,1480000
2011,2,8900,Elevance Health Inc.,1505000
2011,3,8900,Elevance Health Inc.,1020000
2011,4,8900,Elevance Health Inc.,1320000
2012,1,8900,Elevance Health Inc.,1700000
2012,2,8900,Elevance Health Inc.,1040000
2012,3,8900,Elevance Health Inc.,1210000
2012,4,8900,Elevance Health Inc.,1250000
2013,1,8900,Elevance Health Inc.,2000000
2013,2,8900,Elevance Health Inc.,1510000
2013,3,8900,Elevance Health Inc.,1080000
2013,4,8900,Elevance Health Inc.,1410000
2014,1,8900,Elevance Health Inc.,1700000
2014,2,8900,Elevance Health Inc.,1760000
2014,3,8900,Elevance Health Inc.,1230000
2014,4,8900,Elevance Health Inc.,1960000
2015,1,8900,Elevance Health Inc.,1640000
2015,2,8900,Elevance Health Inc.,1300000
2015,3,8900,Elevance Health Inc.,2660000
2015,4,8900,Elevance Health Inc.,1580000
2016,1,8900,Elevance Health Inc.,1720000
2016,2,8900,Elevance Health Inc.,1400000
2016,3,8900,Elevance Health Inc.,2900000
2016,4,8900,Elevance Health Inc.,1490000
2017,1,8900,Elevance Health Inc.,2050000
2017,2,8900,Elevance Health Inc.,1460000
2017,3,8900,Elevance Health Inc.,1080000
2017,4,8900,Elevance Health Inc.,1990000
2018,1,8900,Elevance Health Inc.,1610000
2018,2,8900,Elevance Health Inc.,1190000
2018,3,8900,Elevance Health Inc.,1020000
2018,4,8900,Elevance Health Inc.,2070000
2019,1,8900,Elevance Health Inc.,1300000
2019,2,8900,Elevance Health Inc.,1340000
2019,3,8900,Elevance Health Inc.,910000
2019,4,8900,Elevance Health Inc.,2440000
2020,1,8900,Elevance Health Inc.,1310000
2020,2,8900,Elevance Health Inc.,1480000
2020,3,8900,Elevance Health Inc.,990000
2020,4,8900,Elevance Health Inc.,1420000
2021,1,8900,Elevance Health Inc.,1550000
2021,2,8900,Elevance Health Inc.,1990000
2021,3,8900,Elevance Health Inc.,2470000
2021,4,8900,Elevance Health Inc.,1540000
2022,1,8900,Elevance Health Inc.,1930000
2022,2,8900,Elevance Health Inc.,1830000
2022,3,8900,Elevance Health Inc.,1860000
2022,4,8900,Elevance Health Inc.,1540000
2023,1,8900,Elevance Health Inc.,3887500
2023,2,8900,Elevance Health Inc.,1677500
2023,3,8900,Elevance Health Inc.,1537500
2023,4,8900,Elevance Health Inc.,1777500
2024,1,8900,Elevance Health Inc.,2697500
2024,2,8900,Elevance Health Inc.,1767500
2024,3,8900,Elevance Health Inc.,1590000
2024,4,8900,Elevance Health Inc.,1480000
2010,1,10927,Cigna Group,620750
2010,2,10927,Cigna Group,780750
2010,3,10927,Cigna Group,930750
2010,4,10927,Cigna Group,510750
2011,1,10927,Cigna Group,450750
2011,2,10927,Cigna Group,400750
2011,3,10927,Cigna Group,640750
2011,4,10927,Cigna Group,360750
2012,1,10927,Cigna Group,640750
2012,2,10927,Cigna Group,610750
2012,3,10927,Cigna Group,470750
2012,4,10927,Cigna Group,350750
2013,1,10927,Cigna Group,800750
2013,2,10927,Cigna Group,820750
2013,3,10927,Cigna Group,300750
2013,4,10927,Cigna Group,740750
2014,1,10927,Cigna Group,1960750
2014,2,10927,Cigna Group,820750
2014,3,10927,Cigna Group,640750
2014,4,10927,Cigna Group,690750
2015,1,10927,Cigna Group,1140750
2015,2,10927,Cigna Group,1370750
2015,3,10927,Cigna Group,1750750
2015,4,10927,Cigna Group,1950750
2016,1,10927,Cigna Group,1410750
2016,2,10927,Cigna Group,1440750
2016,3,10927,Cigna Group,1450750
2016,4,10927,Cigna Group,1820750
2017,1,10927,Cigna Group,1410750
2017,2,10927,Cigna Group,2140750
2017,3,10927,Cigna Group,1730750
2017,4,10927,Cigna Group,1880750
2018,1,10927,Cigna Group,2300750
2018,2,10927,Cigna Group,2140750
2018,3,10927,Cigna Group,1920750
2018,4,10927,Cigna Group,2820750
2019,1,10927,Cigna Group,2370000
2019,2,10927,Cigna Group,2770000
2019,3,10927,Cigna Group,2770000
2019,4,10927,Cigna Group,2330000
2020,1,10927,Cigna Group,1920000
2020,2,10927,Cigna Group,2920000
2020,3,10927,Cigna Group,2080000
2020,4,10927,Cigna Group,1955000
2021,1,10927,Cigna Group,2295000
2021,2,10927,Cigna Group,2700000
2021,3,10927,Cigna Group,1830000
2021,4,10927,Cigna Group,3700000
2022,1,10927,Cigna Group,3980000
2022,2,10927,Cigna Group,1330000
2022,3,10927,Cigna Group,3290000
2022,4,10927,Cigna Group,1380000
2023,1,10927,Cigna Group,5610000
2023,2,10927,Cigna Group,2000000
2023,3,10927,Cigna Group,2030000
2023,4,10927,Cigna Group,2330000
2024,1,10927,Cigna Group,3310000
2024,2,10927,Cigna Group,2600000
2024,3,10927,Cigna Group,2120000
2024,4,10927,Cigna Group,1820000
2010,1,11862,Ford Motor Co.,1700000
2010,2,11862,Ford Motor Co.,1740000
2010,3,11862,Ford Motor Co.,1680000
2010,4,11862,Ford Motor Co.,1650000
2011,1,11862,Ford Motor Co.,1980000
2011,2,11862,Ford Motor Co.,2010000
2011,3,11862,Ford Motor Co.,2033000
2011,4,11862,Ford Motor Co.,1814000
2012,1,11862,Ford Motor Co.,1980000
2012,2,11862,Ford Motor Co.,1930000
2012,3,11862,Ford Motor Co.,1930000
2012,4,11862,Ford Motor Co.,1920000
2013,1,11862,Ford Motor Co.,1860000
2013,2,11862,Ford Motor Co.,1870000
2013,3,11862,Ford Motor Co.,1590000
2013,4,11862,Ford Motor Co.,6380000
2014,1,11862,Ford Motor Co.,1419000
2014,2,11862,Ford Motor Co.,1501362
2014,3,11862,Ford Motor Co.,1362665
2014,4,11862,Ford Motor Co.,1258681
2015,1,11862,Ford Motor Co.,1324946
2015,2,11862,Ford Motor Co.,1349864
2015,3,11862,Ford Motor Co.,1298088
2015,4,11862,Ford Motor Co.,1320188
2016,1,11862,Ford Motor Co.,1482151
2016,2,11862,Ford Motor Co.,1447805
2016,3,11862,Ford Motor Co.,1427821
2016,4,11862,Ford Motor Co.,1404183
2017,1,11862,Ford Motor Co.,1389717
2017,2,11862,Ford Motor Co.,1379237
2017,3,11862,Ford Motor Co.,1337808
2017,4,11862,Ford Motor Co.,1328956
2018,1,11862,Ford Motor Co.,1288252
2018,2,11862,Ford Motor Co.,1422643
2018,3,11862,Ford Motor Co.,1399835
2018,4,11862,Ford Motor Co.,1363692
2019,1,11862,Ford Motor Co.,1343468
2019,2,11862,Ford Motor Co.,1385829
2019,3,11862,Ford Motor Co.,1377880
2019,4,11862,Ford Motor Co.,1354776
2020,1,11862,Ford Motor Co.,1048901
2020,2,11862,Ford Motor Co.,1043564
2020,3,11862,Ford Motor Co.,1067384
2020,4,11862,Ford Motor Co.,1168361
2021,1,11862,Ford Motor Co.,1354998
2021,2,11862,Ford Motor Co.,1151131
2021,3,11862,Ford Motor Co.,1312948
2021,4,11862,Ford Motor Co.,1370835
2022,1,11862,Ford Motor Co.,1232981
2022,2,11862,Ford Motor Co.,1635429
2022,3,11862,Ford Motor Co.,959198
2022,4,11862,Ford Motor Co.,1272652
2023,1,11862,Ford Motor Co.,1308888
2023,2,11862,Ford Motor Co.,1471450
2023,3,11862,Ford Motor Co.,933486
2023,4,11862,Ford Motor Co.,972979
2024,1,11862,Ford Motor Co.,1740354
2024,2,11862,Ford Motor Co.,983142
2024,3,11862,Ford Motor Co.,784216
2024,4,11862,Ford Motor Co.,960409
2010,1,18384,Airlines for America Inc.,1650000
2010,2,18384,Airlines for America Inc.,1390000
2010,3,18384,Airlines for America Inc.,1080000
2010,4,18384,Airlines for America Inc.,1220000
2011,1,18384,Airlines for America Inc.,1080000
2011,2,18384,Airlines for America Inc.,1060000
2011,3,18384,Airlines for America Inc.,1230000
2011,4,18384,Airlines for America Inc.,2780000
2012,1,18384,Airlines for America Inc.,1420000
2012,2,18384,Airlines for America Inc.,1780000
2012,3,18384,Airlines for America Inc.,2040000
2012,4,18384,Airlines for America Inc.,2340000
2013,1,18384,Airlines for America Inc.,1670000
2013,2,18384,Airlines for America Inc.,2080000
2013,3,18384,Airlines for America Inc.,1930000
2013,4,18384,Airlines for America Inc.,3220000
2014,1,18384,Airlines for America Inc.,1420000
2014,2,18384,Airlines for America Inc.,1520000
2014,3,18384,Airlines for America Inc.,2250000
2014,4,18384,Airlines for America Inc.,2530000
2015,1,18384,Airlines for America Inc.,1620000
2015,2,18384,Airlines for America Inc.,1650000
2015,3,18384,Airlines for America Inc.,1480000
2015,4,18384,Airlines for America Inc.,1720000
2016,1,18384,Airlines for America Inc.,1940000
2016,2,18384,Airlines for America Inc.,2287333
2016,3,18384,Airlines for America Inc.,1940000
2016,4,18384,Airlines for America Inc.,1770000
2017,1,18384,Airlines for America Inc.,2110000
2017,2,18384,Airlines for America Inc.,2460000
2017,3,18384,Airlines for America Inc.,3070000
2017,4,18384,Airlines for America Inc.,2590000
2018,1,18384,Airlines for America Inc.,2100000
2018,2,18384,Airlines for America Inc.,2100000
2018,3,18384,Airlines for America Inc.,2096900
2018,4,18384,Airlines for America Inc.,2006200
2019,1,18384,Airlines for America Inc.,1719400
2019,2,18384,Airlines for America Inc.,1687700
2019,3,18384,Airlines for America Inc.,1617700
2019,4,18384,Airlines for America Inc.,1772900
2020,1,18384,Airlines for America Inc.,2361800
2020,2,18384,Airlines for America Inc.,1920800
2020,3,18384,Airlines for America Inc.,1751500
2020,4,18384,Airlines for America Inc.,1847600
2021,1,18384,Airlines for America Inc.,1714800
2021,2,18384,Airlines for America Inc.,1771700
2021,3,18384,Airlines for America Inc.,1649300
2021,4,18384,Airlines for America Inc.,1691700
2022,1,18384,Airlines for America Inc.,1703200
2022,2,18384,Airlines for America Inc.,1581600
2022,3,18384,Airlines for America Inc.,1818600
2022,4,18384,Airlines for America Inc.,1699700
2023,1,18384,Airlines for America Inc.,1852300
2023,2,18384,Airlines for America Inc.,1831700
2023,3,18384,Airlines for America Inc.,1883200
2023,4,18384,Airlines for America Inc.,1719700
2024,1,18384,Airlines for America Inc.,1818700
2024,2,18384,Airlines for America Inc.,1769300
2024,3,18384,Airlines for America Inc.,1952300
2024,4,18384,Airlines for America Inc.,1542400
2010,1,20225,GSK plc,2557500
2010,2,20225,GSK plc,1477500
2010,3,20225,GSK plc,1872500
2010,4,20225,GSK plc,1312500
2011,1,20225,GSK plc,1802500
2011,2,20225,GSK plc,1472500
2011,3,20225,GSK plc,2077500
2011,4,20225,GSK plc,1342500
2012,1,20225,GSK plc,1752500
2012,2,20225,GSK plc,1532500
2012,3,20225,GSK plc,1182500
2012,4,20225,GSK plc,1562500
2013,1,20225,GSK plc,1742500
2013,2,20225,GSK plc,782500
2013,3,20225,GSK plc,1532500
2013,4,20225,GSK plc,687500
2014,1,20225,GSK plc,1897500
2014,2,20225,GSK plc,1280000
2014,3,20225,GSK plc,1347500
2014,4,20225,GSK plc,787500
2015,1,20225,GSK plc,1940000
2015,2,20225,GSK plc,1333000
2015,3,20225,GSK plc,1042000
2015,4,20225,GSK plc,580000
2016,1,20225,GSK plc,1690000
2016,2,20225,GSK plc,1300000
2016,3,20225,GSK plc,870000
2016,4,20225,GSK plc,652000
2017,1,20225,GSK plc,1830000
2017,2,20225,GSK plc,1020000
2017,3,20225,GSK plc,900000
2017,4,20225,GSK plc,1380000
2018,1,20225,GSK plc,1400000
2018,2,20225,GSK plc,1685000
2018,3,20225,GSK plc,1415000
2018,4,20225,GSK plc,1190000
2019,1,20225,GSK plc,1760000
2019,2,20225,GSK plc,1140000
2019,3,20225,GSK plc,1630000
2019,4,20225,GSK plc,970000
2020,1,20225,GSK plc,1190000
2020,2,20225,GSK plc,1120000
2020,3,20225,GSK plc,1480000
2020,4,20225,GSK plc,1060000
2021,1,20225,GSK plc,2110000
2021,2,20225,GSK plc,1610000
2021,3,20225,GSK plc,1510000
2021,4,20225,GSK plc,1250000
2022,1,20225,GSK plc,1350000
2022,2,20225,GSK plc,1360000
2022,3,20225,GSK plc,1640000
2022,4,20225,GSK plc,1110000
2023,1,20225,GSK plc,1950000
2023,2,20225,GSK plc,1150000
2023,3,20225,GSK plc,1280000
2023,4,20225,GSK plc,1750000
2024,1,20225,GSK plc,1070000
2024,2,20225,GSK plc,1760000
2024,3,20225,GSK plc,1790000
2024,4,20225,GSK plc,1170000
2010,1,29779,American Medical Association,6380000
2010,2,29779,American Medical Association,8865000
2010,3,29779,American Medical Association,2485000
2010,4,29779,American Medical Association,5165000
2011,1,29779,American Medical Association,4417500
2011,2,29779,American Medical Association,4574000
2011,3,29779,American Medical Association,7474000
2011,4,29779,American Medical Association,5444000
2012,1,29779,American Medical Association,4884000
2012,2,29779,American Medical Association,4634000
2012,3,29779,American Medical Association,3914000
2012,4,29779,American Medical Association,3634000
2013,1,29779,American Medical Association,5147000
2013,2,29779,American Medical Association,4363000
2013,3,29779,American Medical Association,4507000
2013,4,29779,American Medical Association,4482500
2014,1,29779,American Medical Association,6552500
2014,2,29779,American Medical Association,4102500
2014,3,29779,American Medical Association,4472500
2014,4,29779,American Medical Association,4642500
2015,1,29779,American Medical Association,7012500
2015,2,29779,American Medical Association,5922500
2015,3,29779,American Medical Association,4522500
2015,4,29779,American Medical Association,4697500
2016,1,29779,American Medical Association,6787500
2016,2,29779,American Medical Association,4537500
2016,3,29779,American Medical Association,4097500
2016,4,29779,American Medical Association,4157500
2017,1,29779,American Medical Association,7027500
2017,2,29779,American Medical Association,5527500
2017,3,29779,American Medical Association,5107500
2017,4,29779,American Medical Association,4197500
2018,1,29779,American Medical Association,6837500
2018,2,29779,American Medical Association,4547500
2018,3,29779,American Medical Association,4367500
2018,4,29779,American Medical Association,4987500
2019,1,29779,American Medical Association,7017500
2019,2,29779,American Medical Association,4987500
2019,3,29779,American Medical Association,4817500
2019,4,29779,American Medical Association,4197500
2020,1,29779,American Medical Association,6877500
2020,2,29779,American Medical Association,4087500
2020,3,29779,American Medical Association,4507500
2020,4,29779,American Medical Association,4117500
2021,1,29779,American Medical Association,6540000
2021,2,29779,American Medical Association,4400000
2021,3,29779,American Medical Association,3670000
2021,4,29779,American Medical Association,4950000
2022,1,29779,American Medical Association,6700000
2022,2,29779,American Medical Association,4730000
2022,3,29779,American Medical Association,4540000
2022,4,29779,American Medical Association,5240000
2023,1,29779,American Medical Association,6940000
2023,2,29779,American Medical Association,4990000
2023,3,29779,American Medical Association,3660000
2023,4,29779,American Medical Association,5980000
2024,1,29779,American Medical Association,7520000
2024,2,29779,American Medical Association,5360000
2024,3,29779,American Medical Association,5570000
2024,4,29779,American Medical Association,6790000
2010,1,36150,Prudential Financial Inc.,2075000
2010,2,36150,Prudential Financial Inc.,3240000
2010,3,36150,Prudential Financial Inc.,2565000
2010,4,36150,Prudential Financial Inc.,2375000
2011,1,36150,Prudential Financial Inc.,2155000
2011,2,36150,Prudential Financial Inc.,2025000
2011,3,36150,Prudential Financial Inc.,2975000
2011,4,36150,Prudential Financial Inc.,2625000
2012,1,36150,Prudential Financial Inc.,2095000
2012,2,36150,Prudential Financial Inc.,2565000
2012,3,36150,Prudential Financial Inc.,2705000
2012,4,36150,Prudential Financial Inc.,2255000
2013,1,36150,Prudential Financial Inc.,2045000
2013,2,36150,Prudential Financial Inc.,2084000
2013,3,36150,Prudential Financial Inc.,2350400
2013,4,36150,Prudential Financial Inc.,2451400
2014,1,36150,Prudential Financial Inc.,2388700
2014,2,36150,Prudential Financial Inc.,2351500
2014,3,36150,Prudential Financial Inc.,2270000
2014,4,36150,Prudential Financial Inc.,2580000
2015,1,36150,Prudential Financial Inc.,2570000
2015,2,36150,Prudential Financial Inc.,2330000
2015,3,36150,Prudential Financial Inc.,2290000
2015,4,36150,Prudential Financial Inc.,2310000
2016,1,36150,Prudential Financial Inc.,2470000
2016,2,36150,Prudential Financial Inc.,3660000
2016,3,36150,Prudential Financial Inc.,2700000
2016,4,36150,Prudential Financial Inc.,2310000
2017,1,36150,Prudential Financial Inc.,2820000
2017,2,36150,Prudential Financial Inc.,2550000
2017,3,36150,Prudential Financial Inc.,2570000
2017,4,36150,Prudential Financial Inc.,2283000
2018,1,36150,Prudential Financial Inc.,2433000
2018,2,36150,Prudential Financial Inc.,2253000
2018,3,36150,Prudential Financial Inc.,1603000
2018,4,36150,Prudential Financial Inc.,1643000
2019,1,36150,Prudential Financial Inc.,1675000
2019,2,36150,Prudential Financial Inc.,1705000
2019,3,36150,Prudential Financial Inc.,1155000
2019,4,36150,Prudential Financial Inc.,1155000
2020,1,36150,Prudential Financial Inc.,1155000
2020,2,36150,Prudential Financial Inc.,900000
2020,3,36150,Prudential Financial Inc.,970000
2020,4,36150,Prudential Financial Inc.,1040000
2021,1,36150,Prudential Financial Inc.,940000
2021,2,36150,Prudential Financial Inc.,910000
2021,3,36150,Prudential Financial Inc.,915000
2021,4,36150,Prudential Financial Inc.,886000
2022,1,36150,Prudential Financial Inc.,779547
2022,2,36150,Prudential Financial Inc.,946888
2022,3,36150,Prudential Financial Inc.,869389
2022,4,36150,Prudential Financial Inc.,839513
2023,1,36150,Prudential Financial Inc.,947000
2023,2,36150,Prudential Financial Inc.,847000
2023,3,36150,Prudential Financial Inc.,1278000
2023,4,36150,Prudential Financial Inc.,959000
2024,1,36150,Prudential Financial Inc.,1342000
2024,2,36150,Prudential Financial Inc.,1675000
2024,3,36150,Prudential Financial Inc.,1880000
2024,4,36150,Prudential Financial Inc.,1542000
2010,1,46079,Gilead Sciences Inc.,785000
2010,2,46079,Gilead Sciences Inc.,655000
2010,3,46079,Gilead Sciences Inc.,655000
2010,4,46079,Gilead Sciences Inc.,645000
2011,1,46079,Gilead Sciences Inc.,805000
2011,2,46079,Gilead Sciences Inc.,725000
2011,3,46079,Gilead Sciences Inc.,705000
2011,4,46079,Gilead Sciences Inc.,735000
2012,1,46079,Gilead Sciences Inc.,895000
2012,2,46079,Gilead Sciences Inc.,600000
2012,3,46079,Gilead Sciences Inc.,690000
2012,4,46079,Gilead Sciences Inc.,575000
2013,1,46079,Gilead Sciences Inc.,1003000
2013,2,46079,Gilead Sciences Inc.,920000
2013,3,46079,Gilead Sciences Inc.,1000000
2013,4,46079,Gilead Sciences Inc.,1010000
2014,1,46079,Gilead Sciences Inc.,1315000
2014,2,46079,Gilead Sciences Inc.,1305000
2014,3,46079,Gilead Sciences Inc.,1083000
2014,4,46079,Gilead Sciences Inc.,1073000
2015,1,46079,Gilead Sciences Inc.,1253000
2015,2,46079,Gilead Sciences Inc.,915000
2015,3,46079,Gilead Sciences Inc.,1065000
2015,4,46079,Gilead Sciences Inc.,1242900
2016,1,46079,Gilead Sciences Inc.,1300200
2016,2,46079,Gilead Sciences Inc.,1081000
2016,3,46079,Gilead Sciences Inc.,1175000
2016,4,46079,Gilead Sciences Inc.,1325000
2017,1,46079,Gilead Sciences Inc.,1489500
2017,2,46079,Gilead Sciences Inc.,1270000
2017,3,46079,Gilead Sciences Inc.,1290000
2017,4,46079,Gilead Sciences Inc.,1380000
2018,1,46079,Gilead Sciences Inc.,1265000
2018,2,46079,Gilead Sciences Inc.,1185000
2018,3,46079,Gilead Sciences Inc.,930000
2018,4,46079,Gilead Sciences Inc.,980000
2019,1,46079,Gilead Sciences Inc.,2340000
2019,2,46079,Gilead Sciences Inc.,1710000
2019,3,46079,Gilead Sciences Inc.,2160000
2019,4,46079,Gilead Sciences Inc.,1940000
2020,1,46079,Gilead Sciences Inc.,3155000
2020,2,46079,Gilead Sciences Inc.,1985000
2020,3,46079,Gilead Sciences Inc.,2535000
2020,4,46079,Gilead Sciences Inc.,2175000
2021,1,46079,Gilead Sciences Inc.,3175000
2021,2,46079,Gilead Sciences Inc.,2045000
2021,3,46079,Gilead Sciences Inc.,2895000
2021,4,46079,Gilead Sciences Inc.,2585000
2022,1,46079,Gilead Sciences Inc.,3245000
2022,2,46079,Gilead Sciences Inc.,1997000
2022,3,46079,Gilead Sciences Inc.,3155000
2022,4,46079,Gilead Sciences Inc.,2125000
2023,1,46079,Gilead Sciences Inc.,3525000
2023,2,46079,Gilead Sciences Inc.,2185000
2023,3,46079,Gilead Sciences Inc.,3175000
2023,4,46079,Gilead Sciences Inc.,2415000
2024,1,46079,Gilead Sciences Inc.,3475000
2024,2,46079,Gilead Sciences Inc.,2295000
2024,3,46079,Gilead Sciences Inc.,2855000
2024,4,46079,Gilead Sciences Inc.,3245000
2010,1,47555,Blue Cross Blue Shield Association,2380000
2010,2,47555,Blue Cross Blue Shield Association,2020000
2010,3,47555,Blue Cross Blue Shield Association,2250000
2010,4,47555,Blue Cross Blue Shield Association,2125000
2011,1,47555,Blue Cross Blue Shield Association,2380000
2011,2,47555,Blue Cross Blue Shield Association,2310000
2011,3,47555,Blue Cross Blue Shield Association,2510000
2011,4,47555,Blue Cross Blue Shield Association,2400000
2012,1,47555,Blue Cross Blue Shield Association,2580000
2012,2,47555,Blue Cross Blue Shield Association,2690000
2012,3,47555,Blue Cross Blue Shield Association,2520000
2012,4,47555,Blue Cross Blue Shield Association,2940000
2013,1,47555,Blue Cross Blue Shield Association,2540000
2013,2,47555,Blue Cross Blue Shield Association,2630000
2013,3,47555,Blue Cross Blue Shield Association,2880000
2013,4,47555,Blue Cross Blue Shield Association,2680000
2014,1,47555,Blue Cross Blue Shield Association,2420000
2014,2,47555,Blue Cross Blue Shield Association,2440000
2014,3,47555,Blue Cross Blue Shield Association,2480000
2014,4,47555,Blue Cross Blue Shield Association,2620000
2015,1,47555,Blue Cross Blue Shield Association,2636000
2015,2,47555,Blue Cross Blue Shield Association,2476000
2015,3,47555,Blue Cross Blue Shield Association,2896000
2015,4,47555,Blue Cross Blue Shield Association,2786000
2016,1,47555,Blue Cross Blue Shield Association,2496000
2016,2,47555,Blue Cross Blue Shield Association,2776000
2016,3,47555,Blue Cross Blue Shield Association,2726000
2016,4,47555,Blue Cross Blue Shield Association,2716000
2017,1,47555,Blue Cross Blue Shield Association,2756000
2017,2,47555,Blue Cross Blue Shield Association,2686000
2017,3,47555,Blue Cross Blue Shield Association,2666000
2017,4,47555,Blue Cross Blue Shield Association,2406000
2018,1,47555,Blue Cross Blue Shield Association,2450000
2018,2,47555,Blue Cross Blue Shield Association,2486000
2018,3,47555,Blue Cross Blue Shield Association,2346000
2018,4,47555,Blue Cross Blue Shield Association,2166000
2019,1,47555,Blue Cross Blue Shield Association,2136000
2019,2,47555,Blue Cross Blue Shield Association,2516000
2019,3,47555,Blue Cross Blue Shield Association,2066000
2019,4,47555,Blue Cross Blue Shield Association,2326000
2020,1,47555,Blue Cross Blue Shield Association,2436000
2020,2,47555,Blue Cross Blue Shield Association,2166000
2020,3,47555,Blue Cross Blue Shield Association,1692400
2020,4,47555,Blue Cross Blue Shield Association,1822400
2021,1,47555,Blue Cross Blue Shield Association,1737400
2021,2,47555,Blue Cross Blue Shield Association,2067400
2021,3,47555,Blue Cross Blue Shield Association,1795000
2021,4,47555,Blue Cross Blue Shield Association,1915000
2022,1,47555,Blue Cross Blue Shield Association,1790000
2022,2,47555,Blue Cross Blue Shield Association,1940000
2022,3,47555,Blue Cross Blue Shield Association,1877500
2022,4,47555,Blue Cross Blue Shield Association,1757500
2023,1,47555,Blue Cross Blue Shield Association,1547500
2023,2,47555,Blue Cross Blue Shield Association,1987500
2023,3,47555,Blue Cross Blue Shield Association,2127500
2023,4,47555,Blue Cross Blue Shield Association,2247500
2024,1,47555,Blue Cross Blue Shield Association,2310000
2024,2,47555,Blue Cross Blue Shield Association,1750000
2024,3,47555,Blue Cross Blue Shield Association,2230000
2024,4,47555,Blue Cross Blue Shield Association,2080000
2010,1,48709,Open Society Policy Center Inc.,390000
2010,2,48709,Open Society Policy Center Inc.,270000
2010,3,48709,Open Society Policy Center Inc.,880000
2010,4,48709,Open Society Policy Center Inc.,600000
2011,1,48709,Open Society Policy Center Inc.,140000
2011,2,48709,Open Society Policy Center Inc.,640000
2011,3,48709,Open Society Policy Center Inc.,690000
2011,4,48709,Open Society Policy Center Inc.,1010000
2012,1,48709,Open Society Policy Center Inc.,330000
2012,2,48709,Open Society Policy Center Inc.,320000
2012,3,48709,Open Society Policy Center Inc.,620000
2012,4,48709,Open Society Policy Center Inc.,2000000
2013,1,48709,Open Society Policy Center Inc.,1730000
2013,2,48709,Open Society Policy Center Inc.,1260000
2013,3,48709,Open Society Policy Center Inc.,3920000
2013,4,48709,Open Society Policy Center Inc.,4210000
2014,1,48709,Open Society Policy Center Inc.,2810000
2014,2,48709,Open Society Policy Center Inc.,2020000
2014,3,48709,Open Society Policy Center Inc.,1180000
2014,4,48709,Open Society Policy Center Inc.,6400000
2015,1,48709,Open Society Policy Center Inc.,1110000
2015,2,48709,Open Society Policy Center Inc.,1400000
2015,3,48709,Open Society Policy Center Inc.,3580000
2015,4,48709,Open Society Policy Center Inc.,2140000
2016,1,48709,Open Society Policy Center Inc.,1370000
2016,2,48709,Open Society Policy Center Inc.,1740000
2016,3,48709,Open Society Policy Center Inc.,550000
2016,4,48709,Open Society Policy Center Inc.,1800000
2017,1,48709,Open Society Policy Center Inc.,1700000
2017,2,48709,Open Society Policy Center Inc.,2860000
2017,3,48709,Open Society Policy Center Inc.,1250000
2017,4,48709,Open Society Policy Center Inc.,10310000
